"Запрос","URL","Тип","Намерение","Роль","Источник","Частотность_не_суммировать","География","Приоритет","Ограничение_назначения","Доказательство"
"минивэн аэропорт Сочи (Адлер) Сухум","https://zakazminivena.ru/airport/aer/sukhum","Из аэропорта","Принять решение о заказе: AER → Сухум, 145 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/a738f44efa368142.json"
"трансфер аэропорт Сочи (Адлер) Сухум минивэн","https://zakazminivena.ru/airport/aer/sukhum","Из аэропорта","Принять решение о заказе: AER → Сухум, 145 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/a738f44efa368142.json"
"минивэн аэропорт Домодедово Центр Москвы","https://zakazminivena.ru/airport/dme/moscow-center","Из аэропорта","Принять решение о заказе: DME → Центр Москвы, 45 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/ff1ef3a6faef589b.json"
"трансфер аэропорт Домодедово Центр Москвы минивэн","https://zakazminivena.ru/airport/dme/moscow-center","Из аэропорта","Принять решение о заказе: DME → Центр Москвы, 45 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/ff1ef3a6faef589b.json"
"минивэн аэропорт Домодедово Подольск","https://zakazminivena.ru/airport/dme/podolsk","Из аэропорта","Принять решение о заказе: DME → Подольск, 25 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/c21de9e7a7296128.json"
"трансфер аэропорт Домодедово Подольск минивэн","https://zakazminivena.ru/airport/dme/podolsk","Из аэропорта","Принять решение о заказе: DME → Подольск, 25 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/c21de9e7a7296128.json"
"такси минивэн с аэропорта домодедово в подольск цена","https://zakazminivena.ru/airport/dme/podolsk","Из аэропорта","Принять решение о заказе: DME → Подольск, 25 км.","Расширение","Вебмастер, архив 27.08","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/c21de9e7a7296128.json"
"минивэн аэропорт Домодедово Раменское","https://zakazminivena.ru/airport/dme/ramenskoe","Из аэропорта","Принять решение о заказе: DME → Раменское, 35 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/e4e03785d8b6808a.json"
"трансфер аэропорт Домодедово Раменское минивэн","https://zakazminivena.ru/airport/dme/ramenskoe","Из аэропорта","Принять решение о заказе: DME → Раменское, 35 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/e4e03785d8b6808a.json"
"минивэн аэропорт Домодедово Жуковский","https://zakazminivena.ru/airport/dme/zhukovskiy","Из аэропорта","Принять решение о заказе: DME → Жуковский, 40 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/9170d8c20ac8a146.json"
"трансфер аэропорт Домодедово Жуковский минивэн","https://zakazminivena.ru/airport/dme/zhukovskiy","Из аэропорта","Принять решение о заказе: DME → Жуковский, 40 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/9170d8c20ac8a146.json"
"минивэн аэропорт Домодедово Ступино","https://zakazminivena.ru/airport/dme/stupino","Из аэропорта","Принять решение о заказе: DME → Ступино, 50 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/115e9e1a2c20834b.json"
"трансфер аэропорт Домодедово Ступино минивэн","https://zakazminivena.ru/airport/dme/stupino","Из аэропорта","Принять решение о заказе: DME → Ступино, 50 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/115e9e1a2c20834b.json"
"минивэн аэропорт Домодедово Серпухов","https://zakazminivena.ru/airport/dme/serpukhov","Из аэропорта","Принять решение о заказе: DME → Серпухов, 75 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/818e76f135c89414.json"
"трансфер аэропорт Домодедово Серпухов минивэн","https://zakazminivena.ru/airport/dme/serpukhov","Из аэропорта","Принять решение о заказе: DME → Серпухов, 75 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/818e76f135c89414.json"
"минивэн аэропорт Внуково Центр Москвы","https://zakazminivena.ru/airport/vko/moscow-center","Из аэропорта","Принять решение о заказе: VKO → Центр Москвы, 30 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/56e4fe623ed6b4e3.json"
"трансфер аэропорт Внуково Центр Москвы минивэн","https://zakazminivena.ru/airport/vko/moscow-center","Из аэропорта","Принять решение о заказе: VKO → Центр Москвы, 30 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/56e4fe623ed6b4e3.json"
"минивэн аэропорт Внуково Москва-Сити","https://zakazminivena.ru/airport/vko/moscow-city","Из аэропорта","Принять решение о заказе: VKO → Москва-Сити, 32 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P0","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/bf684cbd70954b9f.json"
"трансфер аэропорт Внуково Москва-Сити минивэн","https://zakazminivena.ru/airport/vko/moscow-city","Из аэропорта","Принять решение о заказе: VKO → Москва-Сити, 32 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P0","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/bf684cbd70954b9f.json"
"внуково москва сити цена","https://zakazminivena.ru/airport/vko/moscow-city","Из аэропорта","Принять решение о заказе: VKO → Москва-Сити, 32 км.","Расширение","Вебмастер, архив 27.08","","География URL; частотность не измерена","P0","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/bf684cbd70954b9f.json"
"минивэн аэропорт Внуково Одинцово","https://zakazminivena.ru/airport/vko/odintsovo","Из аэропорта","Принять решение о заказе: VKO → Одинцово, 25 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/dc3ffd9c67b6029a.json"
"трансфер аэропорт Внуково Одинцово минивэн","https://zakazminivena.ru/airport/vko/odintsovo","Из аэропорта","Принять решение о заказе: VKO → Одинцово, 25 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/dc3ffd9c67b6029a.json"
"минивэн аэропорт Внуково Апрелевка","https://zakazminivena.ru/airport/vko/aprelevka","Из аэропорта","Принять решение о заказе: VKO → Апрелевка, 18 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/6805c5e26ed1b40b.json"
"трансфер аэропорт Внуково Апрелевка минивэн","https://zakazminivena.ru/airport/vko/aprelevka","Из аэропорта","Принять решение о заказе: VKO → Апрелевка, 18 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/6805c5e26ed1b40b.json"
"минивэн аэропорт Внуково Балашиха","https://zakazminivena.ru/airport/vko/balashikha","Из аэропорта","Принять решение о заказе: VKO → Балашиха, 55 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/adbfc64a06b68ad1.json"
"трансфер аэропорт Внуково Балашиха минивэн","https://zakazminivena.ru/airport/vko/balashikha","Из аэропорта","Принять решение о заказе: VKO → Балашиха, 55 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/adbfc64a06b68ad1.json"
"трансфер из внуково в балашиху","https://zakazminivena.ru/airport/vko/balashikha","Из аэропорта","Принять решение о заказе: VKO → Балашиха, 55 км.","Расширение","Вебмастер, архив 27.08","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/adbfc64a06b68ad1.json"
"минивэн аэропорт Внуково Внуково (деревня)","https://zakazminivena.ru/airport/vko/vnukovo-derevnya","Из аэропорта","Принять решение о заказе: VKO → Внуково (деревня), 5 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/8d36b75fa9ccf7a9.json"
"трансфер аэропорт Внуково Внуково (деревня) минивэн","https://zakazminivena.ru/airport/vko/vnukovo-derevnya","Из аэропорта","Принять решение о заказе: VKO → Внуково (деревня), 5 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/8d36b75fa9ccf7a9.json"
"минивэн аэропорт Жуковский Центр Москвы","https://zakazminivena.ru/airport/zia/moscow-center","Из аэропорта","Принять решение о заказе: ZIA → Центр Москвы, 65 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/fc625ca3e65a02d3.json"
"трансфер аэропорт Жуковский Центр Москвы минивэн","https://zakazminivena.ru/airport/zia/moscow-center","Из аэропорта","Принять решение о заказе: ZIA → Центр Москвы, 65 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/fc625ca3e65a02d3.json"
"минивэн аэропорт Жуковский Жуковский (город)","https://zakazminivena.ru/airport/zia/zhukovskiy-city","Из аэропорта","Принять решение о заказе: ZIA → Жуковский (город), 6 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/4ff942271890de2b.json"
"трансфер аэропорт Жуковский Жуковский (город) минивэн","https://zakazminivena.ru/airport/zia/zhukovskiy-city","Из аэропорта","Принять решение о заказе: ZIA → Жуковский (город), 6 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/4ff942271890de2b.json"
"минивэн аэропорт Жуковский Раменское","https://zakazminivena.ru/airport/zia/ramenskoe","Из аэропорта","Принять решение о заказе: ZIA → Раменское, 12 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/c5d11d27dacea394.json"
"трансфер аэропорт Жуковский Раменское минивэн","https://zakazminivena.ru/airport/zia/ramenskoe","Из аэропорта","Принять решение о заказе: ZIA → Раменское, 12 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/c5d11d27dacea394.json"
"минивэн аэропорт Жуковский Электросталь","https://zakazminivena.ru/airport/zia/elektrostal","Из аэропорта","Принять решение о заказе: ZIA → Электросталь, 45 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/a9da7821809c935e.json"
"трансфер аэропорт Жуковский Электросталь минивэн","https://zakazminivena.ru/airport/zia/elektrostal","Из аэропорта","Принять решение о заказе: ZIA → Электросталь, 45 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/a9da7821809c935e.json"
"минивэн аэропорт Казань Центр Казани","https://zakazminivena.ru/airport/kzn/kazan-center","Из аэропорта","Принять решение о заказе: KZN → Центр Казани, 25 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/9d8c6e5ca5488325.json"
"трансфер аэропорт Казань Центр Казани минивэн","https://zakazminivena.ru/airport/kzn/kazan-center","Из аэропорта","Принять решение о заказе: KZN → Центр Казани, 25 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/9d8c6e5ca5488325.json"
"минивэн аэропорт Казань Иннополис","https://zakazminivena.ru/airport/kzn/innopolis","Из аэропорта","Принять решение о заказе: KZN → Иннополис, 40 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/a88a7c0cfac0d92b.json"
"трансфер аэропорт Казань Иннополис минивэн","https://zakazminivena.ru/airport/kzn/innopolis","Из аэропорта","Принять решение о заказе: KZN → Иннополис, 40 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/a88a7c0cfac0d92b.json"
"трансфер казань иннополис","https://zakazminivena.ru/airport/kzn/innopolis","Из аэропорта","Принять решение о заказе: KZN → Иннополис, 40 км.","Расширение","Вебмастер, архив 27.08","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/a88a7c0cfac0d92b.json"
"минивэн аэропорт Казань Зеленодольск","https://zakazminivena.ru/airport/kzn/zelenodolsk","Из аэропорта","Принять решение о заказе: KZN → Зеленодольск, 55 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/d2a2425d30e1913a.json"
"трансфер аэропорт Казань Зеленодольск минивэн","https://zakazminivena.ru/airport/kzn/zelenodolsk","Из аэропорта","Принять решение о заказе: KZN → Зеленодольск, 55 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/d2a2425d30e1913a.json"
"минивэн аэропорт Казань Болгар","https://zakazminivena.ru/airport/kzn/bolgar","Из аэропорта","Принять решение о заказе: KZN → Болгар, 180 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/f2fabf26d9d6011f.json"
"трансфер аэропорт Казань Болгар минивэн","https://zakazminivena.ru/airport/kzn/bolgar","Из аэропорта","Принять решение о заказе: KZN → Болгар, 180 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/f2fabf26d9d6011f.json"
"трансфер казань болгар","https://zakazminivena.ru/airport/kzn/bolgar","Из аэропорта","Принять решение о заказе: KZN → Болгар, 180 км.","Расширение","Вебмастер, архив 27.08","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/f2fabf26d9d6011f.json"
"минивэн аэропорт Екатеринбург (Кольцово) Центр Екатеринбурга","https://zakazminivena.ru/airport/svx/ekaterinburg-center","Из аэропорта","Принять решение о заказе: SVX → Центр Екатеринбурга, 17 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/fec8d4370eaa65c9.json"
"трансфер аэропорт Екатеринбург (Кольцово) Центр Екатеринбурга минивэн","https://zakazminivena.ru/airport/svx/ekaterinburg-center","Из аэропорта","Принять решение о заказе: SVX → Центр Екатеринбурга, 17 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/fec8d4370eaa65c9.json"
"минивэн аэропорт Екатеринбург (Кольцово) Верхняя Пышма","https://zakazminivena.ru/airport/svx/verkhnyaya-pyshma","Из аэропорта","Принять решение о заказе: SVX → Верхняя Пышма, 35 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/e8671c60a1caee0d.json"
"трансфер аэропорт Екатеринбург (Кольцово) Верхняя Пышма минивэн","https://zakazminivena.ru/airport/svx/verkhnyaya-pyshma","Из аэропорта","Принять решение о заказе: SVX → Верхняя Пышма, 35 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/e8671c60a1caee0d.json"
"заказать минивэн верхняя пышма","https://zakazminivena.ru/airport/svx/verkhnyaya-pyshma","Из аэропорта","Принять решение о заказе: SVX → Верхняя Пышма, 35 км.","Расширение","Вебмастер, архив 27.08","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/e8671c60a1caee0d.json"
"минивэн аэропорт Екатеринбург (Кольцово) Берёзовский","https://zakazminivena.ru/airport/svx/berezovskiy","Из аэропорта","Принять решение о заказе: SVX → Берёзовский, 30 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/9884bd39c1bd7f15.json"
"трансфер аэропорт Екатеринбург (Кольцово) Берёзовский минивэн","https://zakazminivena.ru/airport/svx/berezovskiy","Из аэропорта","Принять решение о заказе: SVX → Берёзовский, 30 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/9884bd39c1bd7f15.json"
"сколько стоит такси из кольцово в березовский","https://zakazminivena.ru/airport/svx/berezovskiy","Из аэропорта","Принять решение о заказе: SVX → Берёзовский, 30 км.","Расширение","Вебмастер, архив 27.08","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/9884bd39c1bd7f15.json"
"минивэн аэропорт Екатеринбург (Кольцово) Нижний Тагил","https://zakazminivena.ru/airport/svx/nizhniy-tagil","Из аэропорта","Принять решение о заказе: SVX → Нижний Тагил, 150 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/51d289aeccf7ebcf.json"
"трансфер аэропорт Екатеринбург (Кольцово) Нижний Тагил минивэн","https://zakazminivena.ru/airport/svx/nizhniy-tagil","Из аэропорта","Принять решение о заказе: SVX → Нижний Тагил, 150 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/51d289aeccf7ebcf.json"
"трансфер кольцово нижний тагил","https://zakazminivena.ru/airport/svx/nizhniy-tagil","Из аэропорта","Принять решение о заказе: SVX → Нижний Тагил, 150 км.","Расширение","Вебмастер, архив 27.08","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/51d289aeccf7ebcf.json"
"минивэн аэропорт Новосибирск (Толмачёво) Центр Новосибирска","https://zakazminivena.ru/airport/ovb/novosibirsk-center","Из аэропорта","Принять решение о заказе: OVB → Центр Новосибирска, 20 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/d10b8da9f3528c69.json"
"трансфер аэропорт Новосибирск (Толмачёво) Центр Новосибирска минивэн","https://zakazminivena.ru/airport/ovb/novosibirsk-center","Из аэропорта","Принять решение о заказе: OVB → Центр Новосибирска, 20 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/d10b8da9f3528c69.json"
"минивэн аэропорт Новосибирск (Толмачёво) Академгородок","https://zakazminivena.ru/airport/ovb/akademgorodok","Из аэропорта","Принять решение о заказе: OVB → Академгородок, 50 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/11af45e4e37fe979.json"
"трансфер аэропорт Новосибирск (Толмачёво) Академгородок минивэн","https://zakazminivena.ru/airport/ovb/akademgorodok","Из аэропорта","Принять решение о заказе: OVB → Академгородок, 50 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/11af45e4e37fe979.json"
"стоимость трансфера с толмачево до академгородка","https://zakazminivena.ru/airport/ovb/akademgorodok","Из аэропорта","Принять решение о заказе: OVB → Академгородок, 50 км.","Расширение","Вебмастер, архив 27.08","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/11af45e4e37fe979.json"
"минивэн аэропорт Новосибирск (Толмачёво) Бердск","https://zakazminivena.ru/airport/ovb/berdsk","Из аэропорта","Принять решение о заказе: OVB → Бердск, 35 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/ee6edfe45a8893c9.json"
"трансфер аэропорт Новосибирск (Толмачёво) Бердск минивэн","https://zakazminivena.ru/airport/ovb/berdsk","Из аэропорта","Принять решение о заказе: OVB → Бердск, 35 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/ee6edfe45a8893c9.json"
"минивэн аэропорт Новосибирск (Толмачёво) Кольцово","https://zakazminivena.ru/airport/ovb/koltsovo","Из аэропорта","Принять решение о заказе: OVB → Кольцово, 35 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/d8c28237a6e85756.json"
"трансфер аэропорт Новосибирск (Толмачёво) Кольцово минивэн","https://zakazminivena.ru/airport/ovb/koltsovo","Из аэропорта","Принять решение о заказе: OVB → Кольцово, 35 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/d8c28237a6e85756.json"
"минивэн аэропорт Иркутск Центр Иркутска","https://zakazminivena.ru/airport/ikt/irkutsk-center","Из аэропорта","Принять решение о заказе: IKT → Центр Иркутска, 12 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/a73fc0825436fc24.json"
"трансфер аэропорт Иркутск Центр Иркутска минивэн","https://zakazminivena.ru/airport/ikt/irkutsk-center","Из аэропорта","Принять решение о заказе: IKT → Центр Иркутска, 12 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/a73fc0825436fc24.json"
"минивэн аэропорт Иркутск Листвянка","https://zakazminivena.ru/airport/ikt/listvyanka","Из аэропорта","Принять решение о заказе: IKT → Листвянка, 70 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P1","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/872d0f60769c0f21.json"
"трансфер аэропорт Иркутск Листвянка минивэн","https://zakazminivena.ru/airport/ikt/listvyanka","Из аэропорта","Принять решение о заказе: IKT → Листвянка, 70 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P1","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/872d0f60769c0f21.json"
"минивэн до листвянки заказать иркутск","https://zakazminivena.ru/airport/ikt/listvyanka","Из аэропорта","Принять решение о заказе: IKT → Листвянка, 70 км.","Расширение","Вебмастер, архив 27.08","","География URL; частотность не измерена","P1","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/872d0f60769c0f21.json"
"минивэн аэропорт Иркутск Шелехов","https://zakazminivena.ru/airport/ikt/shelekhov","Из аэропорта","Принять решение о заказе: IKT → Шелехов, 40 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/8114fd0e0e7dd72e.json"
"трансфер аэропорт Иркутск Шелехов минивэн","https://zakazminivena.ru/airport/ikt/shelekhov","Из аэропорта","Принять решение о заказе: IKT → Шелехов, 40 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/8114fd0e0e7dd72e.json"
"минивэн аэропорт Иркутск Ангарск","https://zakazminivena.ru/airport/ikt/angarsk","Из аэропорта","Принять решение о заказе: IKT → Ангарск, 50 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/199f55dc6004d21c.json"
"трансфер аэропорт Иркутск Ангарск минивэн","https://zakazminivena.ru/airport/ikt/angarsk","Из аэропорта","Принять решение о заказе: IKT → Ангарск, 50 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/199f55dc6004d21c.json"
"заказать минивэн ангарск для поездок с ожиданием","https://zakazminivena.ru/airport/ikt/angarsk","Из аэропорта","Принять решение о заказе: IKT → Ангарск, 50 км.","Расширение","Вебмастер, архив 27.08","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/199f55dc6004d21c.json"
"минивэн аэропорт Мурманск Центр Мурманска","https://zakazminivena.ru/airport/mmk/murmansk-center","Из аэропорта","Принять решение о заказе: MMK → Центр Мурманска, 25 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/44561ae007a4d110.json"
"трансфер аэропорт Мурманск Центр Мурманска минивэн","https://zakazminivena.ru/airport/mmk/murmansk-center","Из аэропорта","Принять решение о заказе: MMK → Центр Мурманска, 25 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/44561ae007a4d110.json"
"минивэн аэропорт Мурманск Териберка","https://zakazminivena.ru/airport/mmk/teriberka","Из аэропорта","Принять решение о заказе: MMK → Териберка, 150 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/54da90a633ec3d11.json"
"трансфер аэропорт Мурманск Териберка минивэн","https://zakazminivena.ru/airport/mmk/teriberka","Из аэропорта","Принять решение о заказе: MMK → Териберка, 150 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/54da90a633ec3d11.json"
"минивэн аэропорт Мурманск Кировск","https://zakazminivena.ru/airport/mmk/kirovsk","Из аэропорта","Принять решение о заказе: MMK → Кировск, 200 км.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/3b0a3773e5a55aa7.json"
